period,partner,value_usd_bn,qty_mt,value_per_mt_usd,source
202001,Australia,1.5854,14.505,109.3,comtrade
202001,Indonesia,0.5011,8.3403,60.08,comtrade
202001,Russian Federation,0.2345,2.9239,80.2,comtrade
202001,Mongolia,0.1867,2.4262,76.94,comtrade
202001,Canada,0.0915,0.6698,136.61,comtrade
202001,Kazakhstan,0.0093,0.0891,104.71,comtrade
202001,United Arab Emirates,0.0033,0.0168,194.7,comtrade
202001,Brazil,0.0,0.0,15300.0,comtrade
202001,Kenya,0.0,0.0,3000.0,comtrade
202001,Laos,0.0,0.0006,42.68,comtrade
202001,United Kingdom,0.0,0.0,784.85,comtrade
202001,USA,0.0,0.0,769.43,comtrade
202002,Australia,0.7936,7.2554,109.38,comtrade
202002,Indonesia,0.3044,5.021,60.62,comtrade
202002,Russian Federation,0.1676,2.1838,76.76,comtrade
202002,Canada,0.0645,0.4395,146.68,comtrade
202002,Mongolia,0.0535,0.7757,68.94,comtrade
202002,USA,0.0104,0.1042,100.0,comtrade
202002,Colombia,0.0068,0.0535,128.04,comtrade
202002,New Zealand,0.0051,0.0655,77.7,comtrade
202002,Kazakhstan,0.0019,0.0145,130.24,comtrade
202002,Myanmar,0.0001,0.0056,17.2,comtrade
202002,Netherlands,0.0001,0.0002,475.59,comtrade
202002,Germany,0.0,0.0,734.84,comtrade
202003,Australia,1.0206,10.005,102.01,comtrade
202003,Indonesia,0.2796,4.6573,60.03,comtrade
202003,Russian Federation,0.18,2.4351,73.9,comtrade
202003,Canada,0.0904,0.655,138.08,comtrade
202003,USA,0.0193,0.1268,152.38,comtrade
202003,Mongolia,0.0122,0.296,41.19,comtrade
202003,Mozambique,0.0096,0.077,124.1,comtrade
202003,Kazakhstan,0.0049,0.0369,133.92,comtrade
202003,Laos,0.0001,0.0012,43.56,comtrade
202003,Myanmar,0.0,0.0013,17.2,comtrade
202003,Germany,0.0,0.0,4091.95,comtrade
202003,Nigeria,0.0,0.0,11566.67,comtrade
202004,Australia,1.1102,10.847,102.35,comtrade
202004,Indonesia,0.3341,5.504,60.7,comtrade
202004,Russian Federation,0.252,3.3529,75.17,comtrade
202004,Mongolia,0.0673,0.9363,71.92,comtrade
202004,Canada,0.0344,0.2403,143.26,comtrade
202004,Colombia,0.0216,0.3313,65.19,comtrade
202004,USA,0.0134,0.0917,146.58,comtrade
202004,Kazakhstan,0.0065,0.048,135.24,comtrade
202004,New Zealand,0.0036,0.022,165.03,comtrade
202004,Malaysia,0.0004,0.0098,38.01,comtrade
202004,Laos,0.0001,0.0024,42.82,comtrade
202004,Ethiopia,0.0,0.0,30300.0,comtrade
202004,Germany,0.0,0.0,5523.81,comtrade
202004,Kyrgyzstan,0.0,0.0017,26.03,comtrade
202004,United Kingdom,0.0,0.0,1842.0,comtrade
202005,Australia,0.5247,5.2948,99.1,comtrade
202005,Indonesia,0.2286,3.98,57.45,comtrade
202005,Russian Federation,0.1634,2.1734,75.17,comtrade
202005,Mongolia,0.139,1.8408,75.5,comtrade
202005,Canada,0.0696,0.5201,133.9,comtrade
202005,Colombia,0.0222,0.3288,67.44,comtrade
202005,Kazakhstan,0.0038,0.0283,134.29,comtrade
202005,USA,0.0,0.0,783.29,comtrade
202006,Australia,0.7321,7.7546,94.41,comtrade
202006,Indonesia,0.2161,4.3094,50.15,comtrade
202006,Russian Federation,0.1845,2.5493,72.35,comtrade
202006,Mongolia,0.1677,2.3707,70.72,comtrade
202006,Canada,0.0712,0.5488,129.78,comtrade
202006,USA,0.0383,0.3375,113.57,comtrade
202006,Colombia,0.0118,0.1643,72.05,comtrade
202006,Kazakhstan,0.002,0.0147,133.66,comtrade
202006,Laos,0.0002,0.0036,44.4,comtrade
202006,Myanmar,0.0,0.0002,20.69,comtrade
202006,Germany,0.0,0.0,4167.03,comtrade
202006,Kyrgyzstan,0.0,0.0001,22.01,comtrade
202007,Australia,0.8619,8.3831,102.82,comtrade
202007,Indonesia,0.2416,4.7447,50.92,comtrade
202007,Mongolia,0.1729,2.5332,68.27,comtrade
202007,Russian Federation,0.1637,2.4543,66.71,comtrade
202007,Canada,0.0195,0.2185,89.12,comtrade
202007,Colombia,0.011,0.1685,65.4,comtrade
202007,Kazakhstan,0.0009,0.0075,124.48,comtrade
202007,Myanmar,0.0,0.0007,22.48,comtrade
202007,Germany,0.0,0.0,8800.0,comtrade
202007,Kyrgyzstan,0.0,0.0006,20.41,comtrade
202008,Australia,0.5657,5.9879,94.48,comtrade
202008,Mongolia,0.2566,3.5668,71.95,comtrade
202008,Indonesia,0.1737,3.4591,50.23,comtrade
202008,Russian Federation,0.1446,2.0709,69.83,comtrade
202008,Canada,0.0557,0.5475,101.68,comtrade
202008,Colombia,0.0114,0.1694,67.57,comtrade
202008,USA,0.007,0.0735,95.59,comtrade
202008,Kazakhstan,0.0007,0.0058,125.63,comtrade
202008,Germany,0.0,0.0,4006.69,comtrade
202009,Australia,0.3822,4.4702,85.49,comtrade
202009,Mongolia,0.3376,5.1594,65.43,comtrade
202009,Indonesia,0.1614,3.168,50.96,comtrade
202009,Russian Federation,0.1435,2.2047,65.08,comtrade
202009,Canada,0.0349,0.3099,112.56,comtrade
202009,Kazakhstan,0.0013,0.0099,126.71,comtrade
202009,Kyrgyzstan,0.0002,0.0067,22.49,comtrade
202009,Myanmar,0.0,0.0001,26.24,comtrade
202009,Japan,0.0,0.0,2379.15,comtrade
202009,Viet Nam,0.0,0.0,3391.62,comtrade
202010,Mongolia,0.2728,3.857,70.72,comtrade
202010,Australia,0.2237,2.3524,95.1,comtrade
202010,Russian Federation,0.1909,2.8117,67.88,comtrade
202010,Indonesia,0.0797,1.5748,50.61,comtrade
202010,Canada,0.0478,0.405,117.93,comtrade
202010,Myanmar,0.0,0.0001,26.23,comtrade
202010,Germany,0.0,0.0,4301.62,comtrade
202010,"China, Hong Kong SAR",0.0,0.0,23120.0,comtrade
202010,Laos,0.0,0.0002,51.02,comtrade
202010,USA,0.0,0.0,1182.98,comtrade
202011,Mongolia,0.2077,2.9275,70.93,comtrade
202011,Russian Federation,0.1795,2.7222,65.93,comtrade
202011,Indonesia,0.0792,1.5119,52.35,comtrade
202011,Australia,0.0499,0.5616,88.78,comtrade
202011,Canada,0.0342,0.3118,109.73,comtrade
202011,USA,0.01,0.075,132.93,comtrade
202011,Kyrgyzstan,0.0,0.0002,19.33,comtrade
202011,Zimbabwe,0.0,0.0,144.99,comtrade
202011,Spain,0.0,0.0,3280.0,comtrade
202012,Indonesia,0.5269,9.6244,54.74,comtrade
202012,Russian Federation,0.459,6.1054,75.17,comtrade
202012,Mongolia,0.1284,1.7606,72.93,comtrade
202012,Canada,0.07,0.6258,111.84,comtrade
202012,Colombia,0.0233,0.3296,70.83,comtrade
202012,USA,0.0143,0.1349,105.8,comtrade
202012,Australia,0.0058,0.0902,64.34,comtrade
202012,Iran,0.0037,0.0403,90.62,comtrade
202012,United Arab Emirates,0.0012,0.025,46.82,comtrade
202012,Kyrgyzstan,0.0004,0.0172,25.09,comtrade
202012,New Zealand,0.0,0.0,6763.64,comtrade
202101,Indonesia,0.3599,5.9242,60.75,comtrade
202101,Russian Federation,0.2324,3.2199,72.16,comtrade
202101,Mongolia,0.1974,2.445,80.75,comtrade
202101,Canada,0.0562,0.3742,150.33,comtrade
202101,USA,0.0428,0.279,153.51,comtrade
202101,Mozambique,0.0111,0.0785,141.29,comtrade
202101,Laos,0.0,0.0002,106.41,comtrade
202102,Indonesia,0.4516,6.1827,73.04,comtrade
202102,Russian Federation,0.1995,2.424,82.3,comtrade
202102,Mongolia,0.1744,1.9328,90.25,comtrade
202102,Canada,0.0624,0.4177,149.45,comtrade
202102,USA,0.0405,0.2961,136.9,comtrade
202102,South Africa,0.0309,0.4924,62.77,comtrade
202102,Colombia,0.0104,0.1642,63.53,comtrade
202102,Kazakhstan,0.0003,0.0022,135.05,comtrade
202102,Laos,0.0,0.0002,54.09,comtrade
202102,India,0.0,0.0,65.16,comtrade
202103,Indonesia,0.5518,6.9598,79.29,comtrade
202103,Russian Federation,0.4365,4.4247,98.66,comtrade
202103,Mongolia,0.2227,2.4664,90.31,comtrade
202103,Canada,0.2139,1.2392,172.58,comtrade
202103,USA,0.1102,0.6637,166.02,comtrade
202103,South Africa,0.0533,0.7304,73.03,comtrade
202103,Kazakhstan,0.0178,0.1923,92.42,comtrade
202103,Mozambique,0.0147,0.077,190.45,comtrade
202103,Colombia,0.0112,0.1684,66.23,comtrade
202103,Brazil,0.0,0.0,413.26,comtrade
202103,Philippines,0.0,0.0,4400.0,comtrade
202104,Russian Federation,0.4539,4.4449,102.12,comtrade
202104,Indonesia,0.4421,5.2542,84.14,comtrade
202104,USA,0.1666,0.9747,170.94,comtrade
202104,Canada,0.1374,0.6305,217.96,comtrade
202104,South Africa,0.0822,1.0524,78.09,comtrade
202104,Mongolia,0.0631,0.8258,76.4,comtrade
202104,Colombia,0.0409,0.5351,76.42,comtrade
202104,Mozambique,0.0354,0.1742,203.34,comtrade
202104,Peru,0.0043,0.0349,122.94,comtrade
202104,Kazakhstan,0.0023,0.0172,135.06,comtrade
202104,Laos,0.0,0.0,100.0,comtrade
202104,United Rep. of Tanzania,0.0,,,comtrade
202105,Russian Federation,0.512,4.9925,102.55,comtrade
202105,Indonesia,0.4274,5.1399,83.15,comtrade
202105,USA,0.1372,0.7188,190.83,comtrade
202105,Canada,0.1134,0.5381,210.81,comtrade
202105,Mongolia,0.0844,0.9382,90.01,comtrade
202105,Colombia,0.0649,0.8022,80.87,comtrade
202105,South Africa,0.0307,0.3659,83.97,comtrade
202105,Mozambique,0.0049,0.0332,146.91,comtrade
202105,Kazakhstan,0.0009,0.0061,139.78,comtrade
202105,Kyrgyzstan,0.0,0.0003,19.0,comtrade
202106,Indonesia,0.6787,7.296,93.03,comtrade
202106,Russian Federation,0.5406,4.9513,109.19,comtrade
202106,Canada,0.2216,1.1454,193.47,comtrade
202106,USA,0.1957,0.9381,208.61,comtrade
202106,Mongolia,0.0888,0.9625,92.3,comtrade
202106,South Africa,0.0729,0.7967,91.45,comtrade
202106,Colombia,0.0617,0.8374,73.65,comtrade
202106,Mozambique,0.0233,0.1152,202.51,comtrade
202106,Kazakhstan,0.0152,0.1651,91.9,comtrade
202106,Malaysia,0.0,0.0,9985.92,comtrade
202107,Indonesia,0.9062,8.9362,101.41,comtrade
202107,Russian Federation,0.6708,5.9081,113.54,comtrade
202107,Canada,0.2399,1.2528,191.49,comtrade
202107,USA,0.1169,0.6251,186.95,comtrade
