period,partner,value_usd_bn,qty_mt,value_per_mt_usd
202001,Australia,1.5854,14.505,109.3
202001,Indonesia,0.5011,8.3403,60.08
202001,Russian Federation,0.2345,2.9239,80.2
202001,Mongolia,0.1867,2.4262,76.94
202001,Canada,0.0915,0.6698,136.61
202001,Kazakhstan,0.0093,0.0891,104.71
202001,United Arab Emirates,0.0033,0.0168,194.7
202001,Brazil,0.0,0.0,15300.0
202001,Kenya,0.0,0.0,3000.0
202001,Lao People's Dem. Rep.,0.0,0.0006,42.68
202001,United Kingdom,0.0,0.0,784.85
202001,USA,0.0,0.0,769.43
202002,Australia,0.7936,7.2554,109.38
202002,Indonesia,0.3044,5.021,60.62
202002,Russian Federation,0.1676,2.1838,76.76
202002,Canada,0.0645,0.4395,146.68
202002,Mongolia,0.0535,0.7757,68.94
202002,USA,0.0104,0.1042,100.0
202002,Colombia,0.0068,0.0535,128.04
202002,New Zealand,0.0051,0.0655,77.7
202002,Kazakhstan,0.0019,0.0145,130.24
202002,Myanmar,0.0001,0.0056,17.2
202002,Netherlands,0.0001,0.0002,475.59
202002,Germany,0.0,0.0,734.84
202003,Australia,1.0206,10.005,102.01
202003,Indonesia,0.2796,4.6573,60.03
202003,Russian Federation,0.18,2.4351,73.9
202003,Canada,0.0904,0.655,138.08
202003,USA,0.0193,0.1268,152.38
202003,Mongolia,0.0122,0.296,41.19
202003,Mozambique,0.0096,0.077,124.1
202003,Kazakhstan,0.0049,0.0369,133.92
202003,Lao People's Dem. Rep.,0.0001,0.0012,43.56
202003,Myanmar,0.0,0.0013,17.2
202003,Germany,0.0,0.0,4091.95
202003,Nigeria,0.0,0.0,11566.67
202004,Australia,1.1102,10.847,102.35
202004,Indonesia,0.3341,5.504,60.7
202004,Russian Federation,0.252,3.3529,75.17
202004,Mongolia,0.0673,0.9363,71.92
202004,Canada,0.0344,0.2403,143.26
202004,Colombia,0.0216,0.3313,65.19
202004,USA,0.0134,0.0917,146.58
202004,Kazakhstan,0.0065,0.048,135.24
202004,New Zealand,0.0036,0.022,165.03
202004,Malaysia,0.0004,0.0098,38.01
202004,Lao People's Dem. Rep.,0.0001,0.0024,42.82
202004,Ethiopia,0.0,0.0,30300.0
202004,Germany,0.0,0.0,5523.81
202004,Kyrgyzstan,0.0,0.0017,26.03
202004,United Kingdom,0.0,0.0,1842.0
202005,Australia,0.5247,5.2948,99.1
202005,Indonesia,0.2286,3.98,57.45
202005,Russian Federation,0.1634,2.1734,75.17
202005,Mongolia,0.139,1.8408,75.5
202005,Canada,0.0696,0.5201,133.9
202005,Colombia,0.0222,0.3288,67.44
202005,Kazakhstan,0.0038,0.0283,134.29
202005,USA,0.0,0.0,783.29
202006,Australia,0.7321,7.7546,94.41
202006,Indonesia,0.2161,4.3094,50.15
202006,Russian Federation,0.1845,2.5493,72.35
202006,Mongolia,0.1677,2.3707,70.72
202006,Canada,0.0712,0.5488,129.78
202006,USA,0.0383,0.3375,113.57
202006,Colombia,0.0118,0.1643,72.05
202006,Kazakhstan,0.002,0.0147,133.66
202006,Lao People's Dem. Rep.,0.0002,0.0036,44.4
202006,Myanmar,0.0,0.0002,20.69
202006,Germany,0.0,0.0,4167.03
202006,Kyrgyzstan,0.0,0.0001,22.01
202007,Australia,0.8619,8.3831,102.82
202007,Indonesia,0.2416,4.7447,50.92
202007,Mongolia,0.1729,2.5332,68.27
202007,Russian Federation,0.1637,2.4543,66.71
202007,Canada,0.0195,0.2185,89.12
202007,Colombia,0.011,0.1685,65.4
202007,Kazakhstan,0.0009,0.0075,124.48
202007,Myanmar,0.0,0.0007,22.48
202007,Germany,0.0,0.0,8800.0
202007,Kyrgyzstan,0.0,0.0006,20.41
202008,Australia,0.5657,5.9879,94.48
202008,Mongolia,0.2566,3.5668,71.95
202008,Indonesia,0.1737,3.4591,50.23
202008,Russian Federation,0.1446,2.0709,69.83
202008,Canada,0.0557,0.5475,101.68
202008,Colombia,0.0114,0.1694,67.57
202008,USA,0.007,0.0735,95.59
202008,Kazakhstan,0.0007,0.0058,125.63
202008,Germany,0.0,0.0,4006.69
202009,Australia,0.3822,4.4702,85.49
202009,Mongolia,0.3376,5.1594,65.43
202009,Indonesia,0.1614,3.168,50.96
202009,Russian Federation,0.1435,2.2047,65.08
202009,Canada,0.0349,0.3099,112.56
202009,Kazakhstan,0.0013,0.0099,126.71
202009,Kyrgyzstan,0.0002,0.0067,22.49
202009,Myanmar,0.0,0.0001,26.24
202009,Japan,0.0,0.0,2379.15
202009,Viet Nam,0.0,0.0,3391.62
202010,Mongolia,0.2728,3.857,70.72
202010,Australia,0.2237,2.3524,95.1
202010,Russian Federation,0.1909,2.8117,67.88
202010,Indonesia,0.0797,1.5748,50.61
202010,Canada,0.0478,0.405,117.93
202010,Myanmar,0.0,0.0001,26.23
202010,Germany,0.0,0.0,4301.62
202010,"China, Hong Kong SAR",0.0,0.0,23120.0
202010,Lao People's Dem. Rep.,0.0,0.0002,51.02
202010,USA,0.0,0.0,1182.98
202011,Mongolia,0.2077,2.9275,70.93
202011,Russian Federation,0.1795,2.7222,65.93
202011,Indonesia,0.0792,1.5119,52.35
202011,Australia,0.0499,0.5616,88.78
202011,Canada,0.0342,0.3118,109.73
202011,USA,0.01,0.075,132.93
202011,Kyrgyzstan,0.0,0.0002,19.33
202011,Zimbabwe,0.0,0.0,144.99
202011,Spain,0.0,0.0,3280.0
202012,Indonesia,0.5269,9.6244,54.74
202012,Russian Federation,0.459,6.1054,75.17
202012,Mongolia,0.1284,1.7606,72.93
202012,Canada,0.07,0.6258,111.84
202012,Colombia,0.0233,0.3296,70.83
202012,USA,0.0143,0.1349,105.8
202012,Australia,0.0058,0.0902,64.34
202012,Iran,0.0037,0.0403,90.62
202012,United Arab Emirates,0.0012,0.025,46.82
202012,Kyrgyzstan,0.0004,0.0172,25.09
202012,New Zealand,0.0,0.0,6763.64
202101,Indonesia,0.3599,5.9242,60.75
202101,Russian Federation,0.2324,3.2199,72.16
202101,Mongolia,0.1974,2.445,80.75
202101,Canada,0.0562,0.3742,150.33
202101,USA,0.0428,0.279,153.51
202101,Mozambique,0.0111,0.0785,141.29
202101,Lao People's Dem. Rep.,0.0,0.0002,106.41
202102,Indonesia,0.4516,6.1827,73.04
202102,Russian Federation,0.1995,2.424,82.3
202102,Mongolia,0.1744,1.9328,90.25
202102,Canada,0.0624,0.4177,149.45
202102,USA,0.0405,0.2961,136.9
202102,South Africa,0.0309,0.4924,62.77
202102,Colombia,0.0104,0.1642,63.53
202102,Kazakhstan,0.0003,0.0022,135.05
202102,Lao People's Dem. Rep.,0.0,0.0002,54.09
202102,India,0.0,0.0,65.16
202103,Indonesia,0.5518,6.9598,79.29
202103,Russian Federation,0.4365,4.4247,98.66
202103,Mongolia,0.2227,2.4664,90.31
202103,Canada,0.2139,1.2392,172.58
202103,USA,0.1102,0.6637,166.02
202103,South Africa,0.0533,0.7304,73.03
202103,Kazakhstan,0.0178,0.1923,92.42
202103,Mozambique,0.0147,0.077,190.45
202103,Colombia,0.0112,0.1684,66.23
202103,Brazil,0.0,0.0,413.26
202103,Philippines,0.0,0.0,4400.0
202104,Russian Federation,0.4539,4.4449,102.12
202104,Indonesia,0.4421,5.2542,84.14
202104,USA,0.1666,0.9747,170.94
202104,Canada,0.1374,0.6305,217.96
202104,South Africa,0.0822,1.0524,78.09
202104,Mongolia,0.0631,0.8258,76.4
202104,Colombia,0.0409,0.5351,76.42
202104,Mozambique,0.0354,0.1742,203.34
202104,Peru,0.0043,0.0349,122.94
202104,Kazakhstan,0.0023,0.0172,135.06
202104,Lao People's Dem. Rep.,0.0,0.0,100.0
202104,United Rep. of Tanzania,0.0,,
202105,Russian Federation,0.512,4.9925,102.55
202105,Indonesia,0.4274,5.1399,83.15
202105,USA,0.1372,0.7188,190.83
202105,Canada,0.1134,0.5381,210.81
202105,Mongolia,0.0844,0.9382,90.01
202105,Colombia,0.0649,0.8022,80.87
202105,South Africa,0.0307,0.3659,83.97
202105,Mozambique,0.0049,0.0332,146.91
202105,Kazakhstan,0.0009,0.0061,139.78
202105,Kyrgyzstan,0.0,0.0003,19.0
202106,Indonesia,0.6787,7.296,93.03
202106,Russian Federation,0.5406,4.9513,109.19
202106,Canada,0.2216,1.1454,193.47
202106,USA,0.1957,0.9381,208.61
202106,Mongolia,0.0888,0.9625,92.3
202106,South Africa,0.0729,0.7967,91.45
202106,Colombia,0.0617,0.8374,73.65
202106,Mozambique,0.0233,0.1152,202.51
202106,Kazakhstan,0.0152,0.1651,91.9
202106,Malaysia,0.0,0.0,9985.92
202107,Indonesia,0.9062,8.9362,101.41
202107,Russian Federation,0.6708,5.9081,113.54
202107,Canada,0.2399,1.2528,191.49
202107,USA,0.1169,0.6251,186.95
202107,Mongolia,0.0544,0.6262,86.91
202107,South Africa,0.0436,0.4668,93.33
202107,Colombia,0.0355,0.2775,127.78
202107,Mozambique,0.024,0.1059,227.11
202107,New Zealand,0.0055,0.0451,121.88
202107,Peru,0.0041,0.0333,123.79
202107,Kazakhstan,0.0021,0.0146,141.49
202108,Indonesia,0.8726,8.1025,107.7
202108,Russian Federation,0.678,5.1217,132.39
202108,USA,0.3103,1.2134,255.7
202108,Canada,0.2042,0.8158,250.35
202108,Mongolia,0.1445,1.2252,117.97
202108,Colombia,0.0686,0.5836,117.6
202108,South Africa,0.048,0.475,101.05
202108,Mozambique,0.0256,0.1149,222.81
202108,Kazakhstan,0.0,0.0001,88.0
202108,Venezuela,0.0,,
202109,Indonesia,1.165,10.0645,115.75
202109,Russian Federation,0.7648,5.4878,139.36
202109,USA,0.4054,1.463,277.12
202109,Canada,0.2942,1.0045,292.86
202109,Mongolia,0.1372,0.8075,169.94
202109,South Africa,0.0818,0.7344,111.37
202109,Colombia,0.0472,0.3996,118.08
202109,Mozambique,0.0217,0.088,247.03
202109,New Zealand,0.0085,0.0654,129.79
202109,Kazakhstan,0.0006,0.0042,143.88
202109,Viet Nam,0.0004,0.0033,126.1
202109,"Other Asia, nes",0.0,0.0,23000.0
202109,India,0.0,0.0,111.19
202110,Indonesia,1.0227,7.7628,131.74
202110,Russian Federation,0.7772,4.7313,164.26
202110,Mongolia,0.3473,1.3056,265.97
202110,USA,0.264,0.8358,315.82
202110,Australia,0.1999,2.7882,71.71
202110,Canada,0.1659,0.4517,367.3
202110,Mozambique,0.0381,0.0797,477.84
202110,Colombia,0.0267,0.1171,228.11
202110,South Africa,0.0157,0.153,102.64
202110,Kazakhstan,0.0001,0.001,88.0
202110,Lao People's Dem. Rep.,0.0,0.0001,111.31
202110,Zambia,0.0,0.0,15000.0
202111,Indonesia,1.5516,8.8709,174.91
202111,Russian Federation,1.0834,4.835,224.08
202111,USA,0.5468,1.4451,378.41
202111,Canada,0.4905,1.1026,444.85
202111,Australia,0.4567,5.2477,87.02
202111,Mongolia,0.3431,1.5458,221.97
202111,South Africa,0.0703,0.4582,153.53
202111,Mozambique,0.0262,0.0714,367.07
202111,New Zealand,0.0144,0.0441,326.2
202111,Peru,0.0062,0.0381,161.97
202111,Iran,0.0029,0.0372,79.12
202111,Brazil,0.0,,
202111,"Other Asia, nes",0.0,0.0,29600.0
202111,Nigeria,0.0,0.0,30000.0
202111,Senegal,0.0,0.0,4450.0
202111,India,0.0,0.0,164.46
202111,Thailand,0.0,0.0,43500.0
202112,Indonesia,1.3066,7.1648,182.37
202112,Russian Federation,0.7425,4.0802,181.98
202112,Canada,0.7013,1.4605,480.22
202112,Australia,0.4151,3.6761,112.91
202112,USA,0.4147,1.1321,366.29
202112,South Africa,0.2218,1.1461,193.52
202112,Mongolia,0.1449,0.948,152.83
202112,Colombia,0.0977,0.317,308.11
202112,Peru,0.0168,0.0671,250.16
202112,Kazakhstan,0.0165,0.139,118.49
202112,Mozambique,0.013,0.0321,405.97
202112,United Arab Emirates,0.0124,0.0433,286.32
202112,Cambodia,0.0,,
202112,Iran,0.0,0.0,126.87
202112,United Kingdom,0.0,0.0,2049.5
202201,Indonesia,0.9024,5.6049,161.0
202201,USA,0.6959,1.5128,459.97
202201,Russian Federation,0.6741,3.6545,184.47
202201,Canada,0.3852,0.9951,387.09
202201,Australia,0.257,2.174,118.22
202201,South Africa,0.2468,1.0742,229.75
202201,Mongolia,0.1204,0.7449,161.69
202201,Colombia,0.0523,0.1876,278.73
202201,Mozambique,0.0154,0.0361,426.23
202201,New Zealand,0.0124,0.0656,189.88
202201,Peru,0.0077,0.0374,207.04
202201,Kazakhstan,0.0006,0.0026,217.5
202201,Iran,0.0003,0.0014,200.6
202201,Lao People's Dem. Rep.,0.0001,0.0006,106.59
202202,Russian Federation,0.4811,2.6216,183.5
202202,Indonesia,0.3303,2.5264,130.73
202202,USA,0.3029,0.7012,431.98
202202,Canada,0.1514,0.3474,435.95
202202,Mongolia,0.1036,0.5693,181.97
202202,Australia,0.0344,0.1718,200.45
202202,Colombia,0.0223,0.061,366.15
202202,New Zealand,0.009,0.045,198.94
202202,Iran,0.0049,0.0439,112.38
202202,Kazakhstan,0.0007,0.003,217.5
202202,Pakistan,0.0,0.0,5000.0
202203,Russian Federation,0.6022,3.1097,193.66
202203,Indonesia,0.457,3.1887,143.32
202203,Mongolia,0.2307,1.022,225.69
202203,Canada,0.2233,0.6516,342.71
202203,USA,0.1354,0.3613,374.68
202203,Australia,0.038,0.3427,110.79
202203,Kazakhstan,0.0158,0.1411,111.72
202203,South Africa,0.0,0.0,11300.0
202203,United Kingdom,0.0,0.0,925.35
202204,Indonesia,0.8903,5.2202,170.55
202204,Russian Federation,0.81,3.8218,211.93
202204,Canada,0.3528,0.9806,359.75
202204,Mongolia,0.3007,1.3812,217.73
202204,USA,0.0425,0.0786,541.17
202204,Mozambique,0.0304,0.088,345.56
202204,Peru,0.0195,0.1038,188.02
202204,Iran,0.0003,0.0015,220.67
202204,Kazakhstan,0.0,0.0,259.91
202204,Kyrgyzstan,0.0,0.0001,160.12
202205,Russian Federation,0.9876,4.7346,208.59
202205,Indonesia,0.5776,3.0725,187.99
202205,Mongolia,0.3805,1.8375,207.07
202205,Canada,0.3475,0.7749,448.43
202205,USA,0.0527,0.1255,420.07
202205,Kyrgyzstan,0.0002,0.0055,36.0
202205,Lao People's Dem. Rep.,0.0002,0.0017,106.04
202205,Australia,0.0,0.0,52.74
202205,New Zealand,0.0,0.0,9040.0
202205,Peru,0.0,0.0,48750.0
202205,Thailand,0.0,0.0,57000.0
202206,Russian Federation,1.017,5.3343,190.65
202206,Mongolia,0.4548,2.3324,195.0
202206,Indonesia,0.3517,1.7862,196.87
202206,Canada,0.3031,0.6851,442.45
202206,USA,0.0323,0.0789,410.13
202206,Peru,0.0081,0.0374,217.05
202206,Lao People's Dem. Rep.,0.0047,0.0321,145.27
202206,Kyrgyzstan,0.0004,0.0111,36.19
202206,India,0.0,0.0,143.86
202206,South Africa,0.0,0.0,20600.0
202207,Russian Federation,1.338,6.9099,193.64
202207,Mongolia,0.5109,2.8504,179.25
202207,Canada,0.418,1.0264,407.3
202207,Indonesia,0.3472,1.8879,183.93
202207,USA,0.1341,0.3033,442.24
202207,Iran,0.0056,0.0451,123.16
202207,Kyrgyzstan,0.0007,0.02,36.0
202207,Colombia,0.0,0.0,22111.11
202207,Kazakhstan,0.0,0.0001,227.0
202207,United Kingdom,0.0,0.0,2014.95
202208,Russian Federation,1.3366,7.8464,170.34
202208,Mongolia,0.4973,3.5899,138.52
202208,Indonesia,0.4457,2.6713,166.87
202208,Canada,0.3059,0.8184,373.84
202208,USA,0.1914,0.4936,387.73
202208,Australia,0.0109,0.087,125.68
202208,Kyrgyzstan,0.0006,0.0165,36.12
202208,Lao People's Dem. Rep.,0.0002,0.0016,103.8
202208,Viet Nam,0.0001,0.002,70.43
202208,Malaysia,0.0,0.0,13083.33
202208,United Kingdom,0.0,0.0,1883.5
202209,Russian Federation,0.985,6.2336,158.02
202209,Indonesia,0.7666,5.6364,136.0
202209,Mongolia,0.5883,4.233,138.97
202209,Canada,0.1795,0.6033,297.51
202209,USA,0.0746,0.257,290.16
202209,Peru,0.0165,0.0348,475.26
202209,Viet Nam,0.0131,0.0272,480.95
202209,Australia,0.0099,0.0801,123.26
202209,Iran,0.0042,0.043,97.52
202209,Malaysia,0.0035,0.0411,86.14
202209,Kyrgyzstan,0.0009,0.0239,36.38
202209,Lao People's Dem. Rep.,0.0006,0.0058,102.3
202210,Russian Federation,1.059,6.1042,173.49
202210,Indonesia,0.8048,6.0971,132.0
202210,Mongolia,0.5394,3.7927,142.21
202210,Canada,0.2057,0.718,286.42
202210,USA,0.0421,0.1391,302.84
202210,Mozambique,0.0153,0.0628,243.69
202210,Iran,0.0058,0.0445,129.58
202210,Kyrgyzstan,0.0006,0.0148,39.91
202210,Lao People's Dem. Rep.,0.0002,0.0023,99.23
202211,Russian Federation,1.261,6.9524,181.37
202211,Indonesia,0.9374,6.2198,150.71
202211,Mongolia,0.5499,3.749,146.67
202211,Canada,0.2136,0.7266,294.01
202211,USA,0.0355,0.1257,282.16
202211,New Zealand,0.0184,0.0634,290.07
202211,Iran,0.0052,0.0402,129.58
202211,Viet Nam,0.0043,0.0124,344.22
202211,Malaysia,0.0031,0.0299,102.72
202211,Lao People's Dem. Rep.,0.0012,0.0123,97.71
202211,Kyrgyzstan,0.0003,0.0085,40.36
202211,United Rep. of Tanzania,0.0,,
202212,Russian Federation,1.2581,6.8892,182.61
202212,Mongolia,0.7706,4.9377,156.07
202212,Indonesia,0.7276,4.8633,149.62
202212,Canada,0.0936,0.3364,278.26
202212,USA,0.0634,0.3145,201.48
202212,Colombia,0.0329,0.1313,250.83
202212,Viet Nam,0.0242,0.064,377.6
202212,Iran,0.011,0.0926,118.67
202212,Lao People's Dem. Rep.,0.0008,0.0085,97.54
202212,Kyrgyzstan,0.0004,0.0098,39.43
202212,India,0.0,0.0,130.63
202212,United Rep. of Tanzania,0.0,0.0,50000.0
202301,Russian Federation,1.5366,7.9703,192.79
202301,Indonesia,0.967,6.7349,143.58
202301,Mongolia,0.5213,3.4798,149.8
202301,Canada,0.1898,0.6804,279.03
202301,South Africa,0.0629,0.3076,204.47
202301,USA,0.0581,0.2002,290.37
202301,Colombia,0.0172,0.0605,284.26
202301,Lao People's Dem. Rep.,0.0007,0.0071,99.57
202301,Kyrgyzstan,0.0003,0.0081,40.9
202301,Iran,0.0,0.0,200.0
202301,Peru,0.0,0.0,88000.0
202301,United Kingdom,0.0,0.0,1795.75
202302,Russian Federation,1.3045,6.724,194.01
202302,Mongolia,0.6805,4.5327,150.13
202302,Indonesia,0.5297,3.919,135.16
202302,Canada,0.1468,0.4858,302.09
202302,USA,0.0966,0.3091,312.56
202302,Australia,0.0419,0.2072,202.05
202302,South Africa,0.0293,0.1639,179.05
202302,Iran,0.0107,0.1051,101.87
202302,Lao People's Dem. Rep.,0.0008,0.0074,103.26
202302,Kazakhstan,0.0,0.0001,70.9
202302,Kyrgyzstan,0.0,0.0009,41.77
202303,Russian Federation,1.5978,8.8301,180.94
202303,Mongolia,0.8893,5.6904,156.28
202303,Indonesia,0.6285,5.3582,117.3
202303,Australia,0.3488,2.2152,157.44
202303,Canada,0.2729,0.9,303.25
202303,USA,0.1819,0.6881,264.35
202303,South Africa,0.0217,0.1632,132.69
202303,Mozambique,0.0206,0.0733,281.52
202303,Colombia,0.0159,0.0606,262.28
202303,Lao People's Dem. Rep.,0.0017,0.0169,101.27
202303,Kyrgyzstan,0.0002,0.0038,41.44
202303,Malaysia,0.0,0.0,4647.06
202303,India,0.0,0.0,22666.67
202304,Russian Federation,1.352,8.0949,167.01
202304,Indonesia,0.7754,6.5563,118.27
202304,Mongolia,0.744,5.2393,142.01
202304,Australia,0.5294,3.8859,136.23
202304,USA,0.219,0.728,300.82
202304,Canada,0.189,0.6498,290.87
202304,Colombia,0.0181,0.0714,253.21
202304,Malaysia,0.0022,0.027,81.64
202304,Lao People's Dem. Rep.,0.0019,0.0181,102.18
202304,Kyrgyzstan,0.0003,0.0083,42.09
202304,Iran,0.0,0.0,135.0
202304,Kazakhstan,0.0,0.0005,61.81
202304,India,0.0,0.0,98.52
202305,Russian Federation,1.2648,8.8341,143.17
202305,Australia,0.7406,5.4167,136.73
202305,Indonesia,0.6305,5.4906,114.84
202305,Mongolia,0.5466,4.331,126.2
