period,partner,value_usd_bn,qty_mt,value_per_mt_usd
202001,Russian Federation,3.8222,7.4638,512.11
202001,Saudi Arabia,3.7239,7.3111,509.35
202001,Iraq,2.9774,6.2286,478.01
202001,Brazil,2.056,4.2251,486.62
202001,Angola,1.717,3.3879,506.79
202001,Oman,1.5278,2.9991,509.42
202001,Kuwait,1.203,2.3997,501.3
202001,Malaysia,0.8481,1.9941,425.28
202001,United Arab Emirates,0.8016,1.6551,484.35
202001,Norway,0.7135,1.4091,506.37
202001,Colombia,0.4787,1.0487,456.46
202001,Libya,0.397,0.727,546.02
202001,Gabon,0.3401,0.6647,511.72
202001,United Kingdom,0.3312,0.5961,555.61
202001,Ghana,0.3147,0.6305,499.06
202001,Iran,0.265,0.518,511.56
202001,Congo,0.2492,0.5076,490.87
202001,Kazakhstan,0.1653,0.3034,544.66
202001,South Sudan,0.1631,0.3065,532.02
202001,Canada,0.1474,0.3506,420.32
202001,Ecuador,0.1166,0.2603,447.88
202001,Yemen,0.0888,0.1618,548.72
202001,Australia,0.0805,0.1613,499.38
202001,Argentina,0.0728,0.144,505.35
202001,Equatorial Guinea,0.068,0.1313,517.68
202001,Qatar,0.0649,0.1309,496.08
202001,Nigeria,0.0617,0.1261,489.53
202001,Egypt,0.0444,0.0816,543.83
202001,Indonesia,0.0427,0.102,418.61
202001,Thailand,0.0176,0.0363,484.06
202001,Mongolia,0.0156,0.0345,451.82
202002,Saudi Arabia,3.7518,7.432,504.82
202002,Russian Federation,3.2168,6.5888,488.22
202002,Iraq,2.1567,4.3968,490.51
202002,Brazil,1.582,3.4338,460.72
202002,Oman,1.5177,2.9772,509.78
202002,Angola,1.3834,2.9249,472.96
202002,Kuwait,1.0894,2.1396,509.16
202002,United Arab Emirates,0.7718,1.6016,481.88
202002,Malaysia,0.6087,1.578,385.74
202002,Congo,0.4584,1.0022,457.44
202002,Colombia,0.3711,0.9542,388.87
202002,Norway,0.2943,0.7403,397.53
202002,United Kingdom,0.2927,0.5452,536.85
202002,Kazakhstan,0.2273,0.4164,545.83
202002,Libya,0.2199,0.4006,548.93
202002,Equatorial Guinea,0.1801,0.3597,500.62
202002,Gabon,0.1776,0.3822,464.69
202002,Yemen,0.1739,0.3497,497.26
202002,Thailand,0.0822,0.1865,440.71
202002,Iran,0.0782,0.1502,520.66
202002,Ecuador,0.0719,0.151,476.03
202002,Egypt,0.071,0.1346,527.22
202002,Nigeria,0.0708,0.1311,540.28
202002,Australia,0.0687,0.1321,520.2
202002,Algeria,0.0677,0.1347,502.56
202002,Viet Nam,0.0663,0.1225,541.39
202002,Côte d'Ivoire,0.0636,0.1312,484.57
202002,Ghana,0.0635,0.1267,501.26
202002,South Sudan,0.0451,0.0869,518.94
202002,Qatar,0.0348,0.0659,528.05
202002,Mexico,0.03,0.0656,456.66
202002,Canada,0.029,0.0695,417.1
202002,Chad,0.0281,0.0564,497.91
202002,Mongolia,0.0059,0.0138,431.44
202003,Saudi Arabia,3.0622,7.2094,424.75
202003,Russian Federation,2.7707,7.0202,394.68
202003,Iraq,2.2297,5.5987,398.25
202003,Angola,1.7483,3.9895,438.24
202003,Brazil,1.2876,3.2454,396.75
202003,Oman,0.9871,2.2811,432.73
202003,Kuwait,0.8043,1.9657,409.16
202003,United Arab Emirates,0.6036,1.6273,370.91
202003,Norway,0.4493,1.292,347.78
202003,United Kingdom,0.4406,0.9286,474.43
202003,Colombia,0.3808,1.0595,359.43
202003,Congo,0.3247,0.7482,433.91
202003,Gabon,0.25,0.5351,467.23
202003,Malaysia,0.2441,1.0512,232.24
202003,Ghana,0.219,0.5111,428.4
202003,Kazakhstan,0.1883,0.4041,465.87
202003,Iran,0.1093,0.2558,427.18
202003,Ecuador,0.1088,0.3308,328.83
202003,Equatorial Guinea,0.0764,0.1998,382.39
202003,Nigeria,0.0682,0.134,508.46
202003,Algeria,0.0652,0.1308,498.64
202003,Cameroon,0.0608,0.1341,453.73
202003,Viet Nam,0.0513,0.1175,436.53
202003,Australia,0.0379,0.0749,506.56
202003,Yemen,0.0312,0.0742,420.0
202003,Qatar,0.0276,0.0651,424.07
202003,Mexico,0.0251,0.0657,381.47
202003,Egypt,0.0188,0.0404,466.33
202003,Mongolia,0.0004,0.0023,191.13
202003,USA,0.0,0.0,11944.44
202004,Russian Federation,1.9747,7.2035,274.13
202004,Saudi Arabia,1.2881,5.1645,249.42
202004,Oman,1.185,3.8338,309.09
202004,Iraq,1.1097,3.9828,278.62
