period,partner,value_usd_bn,qty_mt,value_per_mt_usd
202001,Australia,1.2423,2.7841,446.22
202001,Qatar,0.6127,1.0696,572.85
202001,Russian Federation,0.3075,0.7248,424.2
202001,Malaysia,0.1961,0.5615,349.26
202001,Indonesia,0.1654,0.3895,424.67
202001,Nigeria,0.1274,0.329,387.3
202001,Papua New Guinea,0.1253,0.2362,530.48
202001,Oman,0.0736,0.1947,378.19
202001,Trinidad and Tobago,0.0344,0.0654,526.19
202001,Peru,0.0293,0.0672,435.37
202001,Equatorial Guinea,0.0223,0.0645,346.17
202001,Brunei Darussalam,0.0212,0.0614,344.6
202001,Angola,0.0178,0.0487,364.77
202001,United Arab Emirates,0.0175,0.059,296.45
202001,Canada,0.0004,0.0011,393.56
202001,Netherlands,0.0001,0.0001,1542.76
202002,Australia,0.8751,2.1654,404.16
202002,Qatar,0.3987,0.7499,531.72
202002,Indonesia,0.2067,0.4579,451.27
202002,Malaysia,0.1061,0.3306,320.86
202002,Papua New Guinea,0.0618,0.1357,455.19
202002,Trinidad and Tobago,0.0556,0.1965,283.09
202002,Russian Federation,0.0505,0.1292,390.92
202002,Oman,0.0354,0.1248,283.95
202002,Nigeria,0.024,0.074,324.24
202002,Angola,0.0065,0.0185,351.55
202002,Canada,0.0007,0.0016,460.57
202002,Netherlands,0.0002,0.0003,539.82
202003,Australia,0.7801,1.9008,410.41
202003,Qatar,0.2963,0.52,569.95
202003,Malaysia,0.1428,0.4502,317.26
202003,Papua New Guinea,0.1177,0.2261,520.45
202003,Indonesia,0.1058,0.3333,317.42
202003,Nigeria,0.0998,0.2609,382.5
202003,Russian Federation,0.0703,0.1997,352.02
202003,Peru,0.0309,0.0636,486.6
202003,Brunei Darussalam,0.0198,0.0648,306.4
202003,Angola,0.0168,0.0524,320.76
202003,Oman,0.012,0.0621,192.39
202003,Egypt,0.0,0.0,700.18
202004,Australia,1.1936,2.7702,430.89
202004,Indonesia,0.1959,0.4942,396.48
202004,Qatar,0.1628,0.2999,542.73
202004,Papua New Guinea,0.1409,0.3033,464.65
202004,Malaysia,0.0857,0.3774,227.05
202004,Russian Federation,0.0672,0.2583,260.03
202004,Brunei Darussalam,0.04,0.0678,589.93
202004,USA,0.0383,0.207,184.96
202004,United Arab Emirates,0.0372,0.1186,313.27
202004,Peru,0.035,0.0714,490.84
202004,Oman,0.0142,0.0559,253.97
202004,Nigeria,0.0051,0.0091,563.07
202005,Australia,0.9148,2.3545,388.55
202005,Qatar,0.1551,0.3592,431.9
202005,Malaysia,0.1304,0.4316,302.07
202005,USA,0.1184,0.3274,361.54
202005,Indonesia,0.1097,0.2744,399.72
202005,Russian Federation,0.1055,0.3208,328.95
202005,Papua New Guinea,0.0931,0.3065,303.73
202005,Nigeria,0.0629,0.2203,285.28
202005,Oman,0.0567,0.1252,453.11
202005,Peru,0.0388,0.1163,333.12
202005,Brunei Darussalam,0.0232,0.1232,188.04
202005,Algeria,0.0124,0.0593,208.72
202005,Equatorial Guinea,0.0087,0.0673,128.95
202005,Angola,0.0078,0.0633,123.49
202005,Canada,0.0003,0.0006,516.22
202006,Australia,0.7932,2.2485,352.75
202006,Indonesia,0.3507,0.9881,354.93
202006,Malaysia,0.1502,0.5615,267.5
202006,Russian Federation,0.1201,0.3907,307.39
202006,Peru,0.1149,0.2626,437.44
202006,USA,0.0973,0.3359,289.85
202006,Qatar,0.085,0.2669,318.59
202006,Papua New Guinea,0.0725,0.2362,306.99
202006,Singapore,0.032,0.0732,436.71
202006,Nigeria,0.0168,0.1323,127.28
202006,Oman,0.0149,0.0635,234.78
202006,Cameroon,0.0098,0.068,143.36
202006,Belgium,0.0081,0.0736,109.65
202006,Brunei Darussalam,0.0072,0.0645,111.29
202006,Canada,0.0,0.0001,517.8
202007,Australia,0.923,2.4104,382.91
202007,Qatar,0.2372,0.6929,342.31
202007,Malaysia,0.1667,0.6513,255.97
202007,Nigeria,0.1081,0.3478,310.78
202007,Papua New Guinea,0.0817,0.3007,271.58
202007,Russian Federation,0.0728,0.2015,361.42
202007,USA,0.0412,0.1356,304.0
202007,Brunei Darussalam,0.0245,0.0674,363.89
202007,Indonesia,0.0178,0.1148,155.36
202007,Cameroon,0.0119,0.0671,177.66
202008,Australia,0.6726,2.4833,270.85
202008,Malaysia,0.1796,0.6941,258.69
202008,Indonesia,0.1764,0.578,305.26
202008,Russian Federation,0.1643,0.5378,305.53
202008,Qatar,0.1321,0.5445,242.55
202008,Nigeria,0.0743,0.3187,233.19
202008,Papua New Guinea,0.0657,0.3074,213.78
202008,USA,0.049,0.1325,369.91
202008,Angola,0.0274,0.0668,409.96
202008,Peru,0.0125,0.0577,216.03
202008,United Arab Emirates,0.0108,0.0584,185.34
202008,Oman,0.0076,0.0623,122.33
202008,Cameroon,0.0071,0.0618,114.65
202008,Canada,0.0,0.0,593.37
202009,Australia,0.58,2.2926,252.98
202009,Indonesia,0.1693,0.5485,308.69
202009,Qatar,0.1686,0.5646,298.55
202009,Malaysia,0.1414,0.5431,260.32
202009,Russian Federation,0.1132,0.407,278.2
202009,Papua New Guinea,0.0691,0.2344,294.82
202009,USA,0.0634,0.2513,252.45
202009,Peru,0.0616,0.1871,329.48
202009,Nigeria,0.0558,0.3214,173.61
202009,Oman,0.0193,0.1194,161.62
202009,Algeria,0.0163,0.0631,258.03
202009,France,0.0155,0.0696,223.38
202009,Angola,0.0091,0.0618,146.93
202010,Australia,0.6294,2.3031,273.26
202010,Russian Federation,0.194,0.6781,286.14
202010,Qatar,0.1489,0.3827,389.15
202010,Malaysia,0.1415,0.5187,272.7
202010,USA,0.0852,0.2723,312.89
202010,Papua New Guinea,0.0799,0.2359,338.5
202010,Indonesia,0.0798,0.3057,261.0
202010,Nigeria,0.0437,0.1986,219.93
202010,Cameroon,0.0128,0.0578,222.17
202010,Oman,0.0027,0.0087,310.65
202010,Japan,0.0,0.0,618.27
202011,Australia,0.8245,2.7245,302.63
202011,Qatar,0.4432,1.266,350.07
202011,Russian Federation,0.2034,0.5438,374.01
202011,USA,0.1668,0.4055,411.19
202011,Malaysia,0.1122,0.3501,320.42
202011,Indonesia,0.1018,0.3662,278.1
202011,Papua New Guinea,0.0811,0.2362,343.51
202011,Peru,0.0464,0.1385,335.17
202011,Brunei Darussalam,0.0355,0.1338,265.25
202011,Oman,0.0323,0.1207,267.65
202011,Cameroon,0.028,0.0659,425.32
202011,Angola,0.0256,0.068,376.06
202011,Netherlands,0.0195,0.0641,304.68
202011,Nigeria,0.016,0.061,262.14
202012,Australia,0.8832,2.4893,354.79
202012,Qatar,0.5335,1.4284,373.49
202012,USA,0.4064,1.0304,394.41
202012,Russian Federation,0.2498,0.6553,381.26
202012,Malaysia,0.178,0.5517,322.7
202012,Papua New Guinea,0.0812,0.2344,346.37
202012,Indonesia,0.075,0.2715,276.31
202012,Nigeria,0.0601,0.1384,433.97
202012,Angola,0.0481,0.1276,376.67
202012,Oman,0.0405,0.128,316.49
202012,Brunei Darussalam,0.0375,0.1297,288.85
202012,Peru,0.0279,0.0684,408.1
202012,Netherlands,0.0274,0.0702,390.05
202012,Cameroon,0.0227,0.063,359.57
202012,United Arab Emirates,0.0208,0.0601,346.99
202012,Egypt,0.0152,0.0643,235.95
202101,Australia,0.9911,2.7235,363.9
202101,Qatar,0.4685,1.207,388.2
202101,USA,0.3701,0.9097,406.87
202101,Malaysia,0.2808,0.7477,375.51
202101,Russian Federation,0.2041,0.4916,415.19
202101,Indonesia,0.1978,0.5871,336.98
202101,Oman,0.1604,0.3946,406.6
202101,Papua New Guinea,0.1543,0.3719,414.81
202101,Egypt,0.1319,0.3672,359.12
202101,Nigeria,0.1161,0.2677,433.81
202101,Cameroon,0.0435,0.0643,676.3
202101,Trinidad and Tobago,0.0238,0.0546,436.05
202101,Philippines,0.0234,0.0551,424.64
202101,Brunei Darussalam,0.0232,0.068,341.48
202101,Peru,0.0185,0.0629,294.97
