period,partner,value_usd_bn,qty_mt,value_per_mt_usd
202001,Turkmenistan,0.7028,3.1235,225.0
202001,Kazakhstan,0.1607,0.714,225.0
202001,Myanmar,0.1469,0.6529,225.0
202001,Russian Federation,0.0663,0.2949,225.0
202001,Uzbekistan,0.0639,0.2842,225.0
202002,Turkmenistan,0.7028,3.1235,225.0
202002,Kazakhstan,0.1607,0.714,225.0
202002,Myanmar,0.1469,0.6529,225.0
202002,Russian Federation,0.0663,0.2949,225.0
202002,Uzbekistan,0.0639,0.2842,225.0
202003,Turkmenistan,0.7028,3.1235,225.0
202003,Kazakhstan,0.1607,0.714,225.0
202003,Myanmar,0.1469,0.6529,225.0
202003,Russian Federation,0.0663,0.2949,225.0
202003,Uzbekistan,0.0639,0.2842,225.0
202004,Turkmenistan,0.7028,3.1235,225.0
202004,Kazakhstan,0.1607,0.714,225.0
202004,Myanmar,0.1469,0.6529,225.0
202004,Russian Federation,0.0663,0.2949,225.0
202004,Uzbekistan,0.0639,0.2842,225.0
202005,Turkmenistan,0.7028,3.1235,225.0
202005,Kazakhstan,0.1607,0.714,225.0
202005,Myanmar,0.1469,0.6529,225.0
202005,Russian Federation,0.0663,0.2949,225.0
202005,Uzbekistan,0.0639,0.2842,225.0
202006,Turkmenistan,0.7028,3.1235,225.0
202006,Kazakhstan,0.1607,0.714,225.0
202006,Myanmar,0.1469,0.6529,225.0
202006,Russian Federation,0.0663,0.2949,225.0
202006,Uzbekistan,0.0639,0.2842,225.0
202007,Turkmenistan,0.7028,3.1235,225.0
202007,Kazakhstan,0.1607,0.714,225.0
202007,Myanmar,0.1469,0.6529,225.0
202007,Russian Federation,0.0663,0.2949,225.0
202007,Uzbekistan,0.0639,0.2842,225.0
202008,Turkmenistan,0.7028,3.1235,225.0
202008,Kazakhstan,0.1607,0.714,225.0
202008,Myanmar,0.1469,0.6529,225.0
202008,Russian Federation,0.0663,0.2949,225.0
202008,Uzbekistan,0.0639,0.2842,225.0
202009,Turkmenistan,0.7028,3.1235,225.0
202009,Kazakhstan,0.1607,0.714,225.0
202009,Myanmar,0.1469,0.6529,225.0
202009,Russian Federation,0.0663,0.2949,225.0
202009,Uzbekistan,0.0639,0.2842,225.0
202010,Turkmenistan,0.7028,3.1235,225.0
202010,Kazakhstan,0.1607,0.714,225.0
202010,Myanmar,0.1469,0.6529,225.0
202010,Russian Federation,0.0663,0.2949,225.0
202010,Uzbekistan,0.0639,0.2842,225.0
202011,Turkmenistan,0.7028,3.1235,225.0
202011,Kazakhstan,0.1607,0.714,225.0
202011,Myanmar,0.1469,0.6529,225.0
202011,Russian Federation,0.0663,0.2949,225.0
202011,Uzbekistan,0.0639,0.2842,225.0
202012,Turkmenistan,0.7028,3.1235,225.0
202012,Kazakhstan,0.1607,0.714,225.0
202012,Myanmar,0.1469,0.6529,225.0
202012,Russian Federation,0.0663,0.2949,225.0
202012,Uzbekistan,0.0639,0.2842,225.0
202101,Turkmenistan,0.4564,1.1878,384.22
202101,Myanmar,0.1396,0.3634,384.22
202101,Kazakhstan,0.1026,0.2671,384.22
202101,Russian Federation,0.0753,0.196,384.22
202101,Uzbekistan,0.0154,0.04,384.22
202101,USA,0.0,0.0,384.22
202102,Turkmenistan,0.522,1.3587,384.22
202102,Myanmar,0.1256,0.327,384.22
202102,Russian Federation,0.1086,0.2826,384.22
202102,Kazakhstan,0.0939,0.2445,384.22
202102,Uzbekistan,0.0114,0.0298,384.22
202103,Turkmenistan,0.4268,1.1109,384.22
202103,Myanmar,0.1059,0.2756,384.22
202103,Russian Federation,0.0982,0.2555,384.22
202103,Kazakhstan,0.0752,0.1956,384.22
202103,Uzbekistan,0.0162,0.0422,384.22
202104,Turkmenistan,0.4711,1.226,384.22
202104,Myanmar,0.116,0.3019,384.22
202104,Russian Federation,0.1085,0.2825,384.22
202104,Kazakhstan,0.0918,0.2389,384.22
202104,Uzbekistan,0.0216,0.0563,384.22
202104,USA,0.0,0.0001,384.22
202105,Turkmenistan,0.5574,1.4508,384.22
202105,Kazakhstan,0.1104,0.2874,384.22
202105,Myanmar,0.1101,0.2865,384.22
202105,Russian Federation,0.0722,0.1878,384.22
202105,Uzbekistan,0.041,0.1066,384.22
202106,Turkmenistan,0.5319,1.3844,384.22
202106,Kazakhstan,0.1089,0.2833,384.22
202106,Myanmar,0.1076,0.2801,384.22
202106,Russian Federation,0.0974,0.2536,384.22
202106,Uzbekistan,0.0791,0.2058,384.22
202107,Turkmenistan,0.5791,1.5073,384.22
202107,Russian Federation,0.1254,0.3264,384.22
202107,Myanmar,0.0962,0.2504,384.22
202107,Kazakhstan,0.082,0.2135,384.22
202107,Uzbekistan,0.069,0.1795,384.22
202108,Turkmenistan,0.6592,1.7156,384.22
202108,Russian Federation,0.1517,0.3948,384.22
202108,Myanmar,0.1213,0.3157,384.22
202108,Uzbekistan,0.1101,0.2867,384.22
202108,Kazakhstan,0.0589,0.1534,384.22
202109,Turkmenistan,0.6515,1.6955,384.22
202109,Russian Federation,0.1522,0.3962,384.22
202109,Myanmar,0.1244,0.3237,384.22
202109,Uzbekistan,0.1181,0.3074,384.22
202109,Kazakhstan,0.0811,0.2112,384.22
202110,Turkmenistan,0.5317,1.3838,384.22
202110,Uzbekistan,0.1194,0.3107,384.22
202110,Myanmar,0.1189,0.3094,384.22
202110,Russian Federation,0.1138,0.2961,384.22
202110,Kazakhstan,0.0601,0.1565,384.22
202111,Turkmenistan,0.7124,1.8541,384.22
202111,Russian Federation,0.1748,0.4551,384.22
202111,Uzbekistan,0.1365,0.3552,384.22
202111,Myanmar,0.1252,0.3259,384.22
202111,Kazakhstan,0.0812,0.2113,384.22
202112,Turkmenistan,0.6922,1.8016,384.22
202112,Russian Federation,0.2325,0.605,384.22
202112,Kazakhstan,0.1868,0.4861,384.22
202112,Myanmar,0.1208,0.3145,384.22
202112,Uzbekistan,0.0612,0.1594,384.22
