period,partner,value_usd_bn
202501,Australia,0.8365
202501,Russian Federation,0.6891
202501,Indonesia,0.485
202501,Mongolia,0.4085
202501,Canada,0.1809
202501,USA,0.1785
202501,Mozambique,0.0142
202501,Kazakhstan,0.0101
202501,Lao People's Dem. Rep.,0.0016
202501,Kyrgyzstan,0.0004
202501,Peru,0.0
202501,Brazil,0.0
202502,Russian Federation,0.6635
202502,Australia,0.4169
202502,Mongolia,0.3676
202502,Indonesia,0.2416
202502,Canada,0.2041
202502,USA,0.1728
202502,Colombia,0.0083
202502,Tanzania,0.0053
202502,Lao People's Dem. Rep.,0.0001
202502,Kazakhstan,0.0001
202502,India,0.0
202502,Kyrgyzstan,0.0
202502,Mozambique,0.0
202502,Croatia,0.0
202502,South Africa,0.0
202502,Zimbabwe,0.0
202503,Russian Federation,0.7176
202503,Mongolia,0.4495
202503,Australia,0.3906
202503,Indonesia,0.212
202503,Canada,0.1402
202503,USA,0.0308
202503,New Zealand,0.0109
202503,Lao People's Dem. Rep.,0.0012
202503,Kyrgyzstan,0.0002
202503,Kazakhstan,0.0002
202503,Tanzania,0.0
202504,Russian Federation,0.6186
202504,Australia,0.6114
202504,Mongolia,0.4417
202504,Indonesia,0.1759
202504,Canada,0.1332
202504,Colombia,0.0134
202504,USA,0.009
202504,New Zealand,0.0089
202504,South Africa,0.0086
202504,Lao People's Dem. Rep.,0.0005
202504,Kazakhstan,0.0002
202504,Kyrgyzstan,0.0
202504,India,0.0
202504,Tajikistan,0.0
202505,Australia,0.6435
202505,Russian Federation,0.5837
202505,Mongolia,0.3706
202505,Indonesia,0.1796
202505,Canada,0.1008
202505,Colombia,0.0126
202505,Kazakhstan,0.008
202505,New Zealand,0.0062
202505,Lao People's Dem. Rep.,0.0006
202505,Kyrgyzstan,0.0001
202505,South Africa,0.0
202505,Tanzania,0.0
202505,USA,0.0
202506,Russian Federation,0.5472
202506,Australia,0.5028
202506,Mongolia,0.3898
202506,Indonesia,0.2319
202506,Canada,0.1598
202506,New Zealand,0.006
202506,Lao People's Dem. Rep.,0.0004
202506,Kazakhstan,0.0001
202506,Kyrgyzstan,0.0001
202506,Türkiye,0.0
202506,Colombia,0.0
202506,USA,0.0
202506,Areas NES,0.0
202507,Russian Federation,0.5462
202507,Australia,0.5134
202507,Mongolia,0.3563
202507,Indonesia,0.2113
202507,Canada,0.1157
202507,South Africa,0.0155
202507,Kyrgyzstan,0.0003
202507,Lao People's Dem. Rep.,0.0001
202507,Malaysia,0.0
202507,Mozambique,0.0
202507,USA,0.0
202507,Türkiye,0.0
202508,Russian Federation,0.6288
202508,Australia,0.5384
202508,Mongolia,0.4502
202508,Indonesia,0.316
202508,Canada,0.1647
202508,Kazakhstan,0.0167
202508,Colombia,0.0041
202508,Kyrgyzstan,0.0002
202508,Swaziland,0.0
202508,India,0.0
202508,Malaysia,0.0
202508,USA,0.0
202509,Russian Federation,0.583
202509,Australia,0.5366
202509,Mongolia,0.5261
202509,Indonesia,0.4341
202509,Canada,0.1969
202509,Kazakhstan,0.0331
202509,Mozambique,0.0123
202509,Viet Nam,0.0065
202509,Kyrgyzstan,0.0005
202509,USA,0.0
202509,Tajikistan,0.0
202510,Australia,0.6651
202510,Russian Federation,0.5757
202510,Mongolia,0.4382
202510,Indonesia,0.396
202510,Canada,0.1748
202510,South Africa,0.008
202510,Kyrgyzstan,0.0007
202510,Lao People's Dem. Rep.,0.0001
202510,Kazakhstan,0.0001
202510,Ireland,0.0
202510,USA,0.0
202510,Areas NES,0.0
202511,Russian Federation,0.7326
202511,Australia,0.6059
202511,Mongolia,0.5663
202511,Indonesia,0.3603
202511,Canada,0.1093
202511,Kyrgyzstan,0.0006
202511,Lao People's Dem. Rep.,0.0001
202511,Malaysia,0.0
202511,Ethiopia,0.0
202511,Colombia,0.0
202511,USA,0.0
202511,Panama,0.0
202512,Australia,0.9845
202512,Russian Federation,0.8673
202512,Mongolia,0.6209
202512,Indonesia,0.5904
202512,Canada,0.2294
202512,Kazakhstan,0.0336
