period,partner,value_usd_bn
202501,Russian Federation,0.8997
202501,Turkmenistan,0.6725
202501,Myanmar,0.1273
202501,Kazakhstan,0.0573
202501,Uzbekistan,0.0261
202501,Italy,0.0
202502,Russian Federation,0.8546
202502,Turkmenistan,0.7089
202502,Myanmar,0.15
202502,Kazakhstan,0.1195
202502,Uzbekistan,0.0233
202502,USA,0.0
202503,Russian Federation,0.7726
202503,Turkmenistan,0.6378
202503,Myanmar,0.1341
202503,Uzbekistan,0.0214
202504,Russian Federation,0.7975
202504,Turkmenistan,0.7641
202504,Myanmar,0.1262
202504,Kazakhstan,0.0902
202504,Uzbekistan,0.0722
202505,Turkmenistan,0.7545
202505,Russian Federation,0.7408
202505,Kazakhstan,0.1303
202505,Myanmar,0.1262
202505,Uzbekistan,0.1218
202506,Russian Federation,0.8292
202506,Turkmenistan,0.6784
202506,Myanmar,0.1301
202506,Kazakhstan,0.1277
202506,Uzbekistan,0.1037
202507,Russian Federation,0.8009
202507,Turkmenistan,0.7424
202507,Myanmar,0.1282
202507,Kazakhstan,0.1033
202507,Uzbekistan,0.0944
202508,Russian Federation,0.7998
202508,Turkmenistan,0.7545
202508,Kazakhstan,0.1355
202508,Myanmar,0.1316
202508,Uzbekistan,0.1032
202509,Russian Federation,0.8022
202509,Turkmenistan,0.7613
202509,Myanmar,0.1343
202509,Kazakhstan,0.0971
202509,Uzbekistan,0.0686
202510,Turkmenistan,0.5636
202510,Russian Federation,0.5609
202510,Myanmar,0.1097
202510,Kazakhstan,0.0933
202510,Uzbekistan,0.0627
202511,Russian Federation,0.7857
202511,Turkmenistan,0.661
202511,Kazakhstan,0.1244
202511,Myanmar,0.1063
202511,Uzbekistan,0.0458
202512,Russian Federation,0.7754
202512,Turkmenistan,0.7215
202512,Myanmar,0.128
202512,Kazakhstan,0.0699
202512,Uzbekistan,0.0319
202601,Russian Federation,0.82
202601,Turkmenistan,0.6829
202601,Myanmar,0.1248
202601,Kazakhstan,0.0582
202601,Uzbekistan,0.0011
202602,Russian Federation,0.7908
202602,Turkmenistan,0.6163
202602,Myanmar,0.1428
202602,Kazakhstan,0.0318
202603,Russian Federation,0.6913
202603,Turkmenistan,0.5915
202603,Myanmar,0.1166
202603,Kazakhstan,0.0347
202603,USA,0.0
202604,Turkmenistan,0.7082
202604,Russian Federation,0.7039
202604,Myanmar,0.1299
202604,Kazakhstan,0.0703
202604,Uzbekistan,0.045
202604,USA,0.0
202605,Russian Federation,0.7971
202605,Turkmenistan,0.7286
202605,Kazakhstan,0.1247
202605,Myanmar,0.1104
202605,Uzbekistan,0.0936
202605,Belgium,0.0
202606,Russian Federation,0.8506
202606,Turkmenistan,0.6894
202606,Kazakhstan,0.1329
202606,Myanmar,0.1174
202606,Uzbekistan,0.079
202607,Russian Federation,0.8408
202607,Turkmenistan,0.7102
202607,Myanmar,0.1233
202607,Kazakhstan,0.1131
202607,Uzbekistan,0.0396
202607,Belgium,0.0
