period,onshore_wind_gw,offshore_wind_gw,wind_gw,solar_gw
201601,130.97,0.58,131.55,52.7
201602,131.77,0.58,132.35,54.79
201603,132.68,0.58,133.26,55.92
201604,133.68,0.58,134.26,59.88
201605,134.48,0.75,135.23,63.84
201606,135.68,0.81,136.49,67.8
201607,136.75,0.81,137.56,71.76
201608,137.36,0.81,138.17,75.73
201609,138.18,0.81,138.99,79.69
201610,139.67,1.1,140.77,83.65
201611,141.66,1.1,142.76,87.61
201612,145.99,1.48,147.47,91.57
201701,147.41,1.54,148.95,96.3
201702,148.85,1.58,150.43,101.02
201703,149.37,1.62,150.99,105.74
201704,150.22,1.66,151.88,110.47
201705,151.01,1.68,152.69,115.19
201706,151.78,1.7,153.48,119.92
201707,153.07,1.7,154.77,133.48
201708,154.36,1.7,156.06,137.51
201709,155.28,1.89,157.17,142.34
201710,156.14,2.03,158.17,145.33
201711,157.96,2.03,159.99,149.95
201712,161.97,2.03,164.0,156.5
201801,164.46,2.04,166.5,163.02
201802,166.95,2.04,168.99,169.55
201803,166.94,2.32,169.26,170.14
201804,167.01,2.33,169.34,172.03
201805,167.96,2.34,170.3,174.72
201806,168.83,2.7,171.53,187.48
201807,170.42,3.04,173.46,194.03
201808,171.21,3.05,174.26,196.14
201809,172.08,3.05,175.13,197.93
201810,175.07,3.4,178.47,200.32
201811,177.47,3.73,181.2,202.37
201812,179.82,4.45,184.27,209.2
201901,180.48,4.5,184.98,211.28
201902,181.14,4.54,185.68,213.38
201903,184.48,4.57,189.05,215.14
201904,185.17,4.6,189.77,215.8
201905,186.53,4.62,191.15,218.82
201906,188.51,4.85,193.36,223.16
201907,189.69,4.85,194.54,225.35
201908,190.51,4.85,195.36,227.14
201909,192.5,4.85,197.35,228.54
201910,194.08,4.85,198.93,229.76
201911,195.71,5.02,200.73,230.75
201912,203.22,5.93,209.15,245.15
202001,203.51,6.13,209.64,245.78
202002,204.01,6.13,210.14,246.43
202003,205.37,6.14,211.51,249.25
202004,206.43,6.27,212.7,250.62
202005,207.55,6.5,214.05,252.53
202006,208.48,6.99,215.47,257.33
202007,210.44,7.27,217.71,260.86
202008,211.7,7.49,219.19,263.35
202009,214.71,7.5,222.21,266.4
202010,219.94,7.5,227.44,271.4
202011,225.21,8.56,233.77,276.23
202012,272.65,9.0,281.65,304.27
202101,274.03,9.41,283.44,306.23
202102,275.41,9.81,285.22,308.17
202103,276.69,10.22,286.91,310.67
202104,277.83,10.42,288.25,312.77
202105,278.98,10.46,289.44,316.16
202106,281.36,11.13,292.49,319.88
202107,281.97,12.25,294.22,325.8
202108,283.09,13.19,296.28,330.73
202109,284.89,13.19,298.08,334.94
202110,287.65,13.19,300.84,339.44
202111,290.25,16.1,306.35,346.07
202112,302.32,26.39,328.71,367.85
202201,304.08,27.26,331.34,373.13
202202,306.72,27.26,333.98,378.42
202203,309.35,27.26,336.61,383.7
202204,311.03,27.26,338.29,388.1
202205,312.27,27.26,339.53,396.3
202206,314.39,27.26,341.65,404.9
202207,316.01,27.63,343.64,413.12
202208,316.59,28.26,344.85,421.21
202209,319.15,28.8,347.95,430.97
202210,321.05,28.8,349.85,437.74
202211,322.39,28.84,351.23,446.7
202212,335.08,30.36,365.44,471.13
202301,337.82,30.54,368.36,485.52
202302,340.57,30.71,371.28,499.9
202303,344.95,30.89,375.84,515.84
202304,348.66,30.98,379.64,533.42
202305,350.74,31.06,381.8,548.9
202306,356.97,31.46,388.43,569.56
202307,361.45,31.46,392.91,588.97
202308,363.73,31.64,395.37,606.49
202309,368.32,31.89,400.21,625.3
202310,370.51,33.49,404.0,642.91
202311,377.93,34.9,412.83,669.14
202312,404.05,37.29,441.34,731.39
202401,408.05,37.8,445.85,754.42
202402,412.43,37.92,450.35,777.46
202403,418.61,38.03,456.64,792.06
202404,419.94,38.09,458.03,805.76
202405,422.9,38.14,461.04,829.18
202406,428.54,38.17,466.71,856.2
202407,432.13,38.4,470.53,882.68
202408,435.14,38.89,474.03,902.82
202409,440.45,39.1,479.55,927.5
202410,446.66,39.51,486.17,951.73
202411,451.99,40.19,492.18,982.0
202412,479.41,41.27,520.68,1063.99
202501,483.5,41.75,525.25,1087.73
202502,487.58,42.24,529.82,1111.46
202503,492.64,42.73,535.37,1135.58
202504,497.96,43.23,541.19,1190.46
202505,523.79,43.7,567.49,1301.34
202506,528.4,44.2,572.6,1320.04
202507,530.02,44.85,574.87,1331.52
202508,533.48,45.53,579.01,1340.68
202509,535.39,46.2,581.59,1351.81
202510,543.93,46.46,590.39,1368.22
202511,555.9,46.74,602.64,1393.44
202512,593.01,47.0,640.01,1442.08
202601,598.26,47.08,645.34,1461.33
202602,603.51,47.15,650.66,1480.58
202603,608.01,47.22,655.23,1490.42
202604,613.01,47.61,660.62,1502.7
202605,616.4,47.87,664.27,1514.06
202606,629.84,48.91,678.75,1528.93
