period,demand_twh,coal_twh,coal_share_pct,gas_twh,gas_share_pct,nuclear_twh,nuclear_share_pct,hydro_twh,hydro_share_pct,wind_twh,wind_share_pct,solar_twh,solar_share_pct,bioenergy_twh,bioenergy_share_pct,other_fossil_twh,other_fossil_share_pct,net_imports_twh,net_imports_share_pct,fossil_twh,fossil_share_pct,clean_twh,clean_share_pct,renewables_twh,renewables_share_pct,carbon_intensity_gco2_kwh
201601,480.44,361.16,75.01,16.04,3.33,14.69,3.05,63.56,13.2,16.11,3.35,3.37,0.7,3.65,0.76,2.89,0.6,-1.02,-0.21,380.09,78.94,101.38,21.06,86.69,18.01,761.42
201602,397.3,279.62,70.21,12.01,3.02,14.98,3.76,65.37,16.41,17.19,4.32,4.07,1.02,3.68,0.92,1.34,0.34,-0.94,-0.24,292.97,73.57,105.29,26.43,90.31,22.67,712.48
201603,483.74,347.64,71.73,14.37,2.96,17.39,3.59,73.47,15.16,21.04,4.34,4.97,1.03,3.73,0.77,2.03,0.42,-0.9,-0.18,364.04,75.11,120.6,24.89,103.21,21.3,727.06
201604,453.76,313.84,68.89,13.27,2.91,15.01,3.29,78.58,17.25,23.32,5.12,5.48,1.2,3.8,0.84,2.27,0.5,-1.82,-0.4,329.38,72.3,126.19,27.7,111.18,24.41,700.32
201605,473.51,313.85,66.14,13.55,2.86,16.44,3.46,94.14,19.84,24.5,5.16,5.85,1.23,3.83,0.81,2.36,0.5,-1.01,-0.21,329.76,69.5,144.76,30.5,128.32,27.04,673.66
201606,497.01,327.83,65.83,14.89,2.99,17.95,3.6,106.45,21.38,18.71,3.76,5.93,1.19,3.82,0.77,2.45,0.49,-1.02,-0.2,345.17,69.31,152.86,30.7,134.91,27.1,671.27
201607,558.81,365.88,65.32,19.51,3.48,19.81,3.54,124.39,22.21,17.22,3.07,6.51,1.16,3.76,0.67,3.1,0.55,-1.36,-0.24,388.49,69.35,171.69,30.65,151.88,27.11,668.89
201608,569.65,389.25,68.24,21.01,3.68,20.16,3.53,111.23,19.5,15.68,2.75,6.93,1.21,3.81,0.67,2.36,0.41,-0.76,-0.13,412.62,72.33,157.81,27.66,137.65,24.13,696.88
201609,497.58,342.16,68.55,15.54,3.11,18.0,3.61,94.59,18.95,15.76,3.16,6.69,1.34,3.97,0.8,2.42,0.48,-1.55,-0.31,360.12,72.14,139.01,27.86,121.01,24.25,698.02
201610,494.74,337.54,68.09,13.52,2.73,17.46,3.52,92.27,18.61,22.61,4.56,5.9,1.19,4.24,0.86,2.21,0.45,-1.0,-0.2,353.27,71.27,142.48,28.74,125.02,25.22,691.52
201611,511.17,360.32,70.38,14.64,2.86,19.48,3.8,80.31,15.69,24.99,4.88,5.65,1.1,4.39,0.86,2.21,0.43,-0.83,-0.16,377.17,73.67,134.82,26.33,115.34,22.53,713.83
201612,540.66,401.52,74.19,18.81,3.48,21.36,3.95,64.55,11.93,23.74,4.39,5.18,0.96,4.42,0.82,1.6,0.3,-0.51,-0.09,421.93,77.97,119.25,22.05,97.89,18.1,752.09
201701,518.96,390.57,75.11,17.07,3.28,16.67,3.21,59.36,11.42,22.46,4.32,6.15,1.18,4.32,0.83,3.42,0.66,-1.07,-0.2,411.06,79.05,108.96,20.96,92.29,17.75,760.57
201702,427.68,302.39,70.49,12.78,2.98,16.68,3.89,61.04,14.23,22.9,5.34,7.24,1.69,4.32,1.01,1.61,0.38,-1.28,-0.3,316.78,73.85,112.18,26.16,95.5,22.27,713.56
201703,520.33,374.09,71.73,15.3,2.93,21.4,4.1,70.19,13.46,25.15,4.82,8.57,1.64,4.41,0.84,2.4,0.46,-1.17,-0.22,391.79,75.12,129.72,24.86,108.32,20.76,725.42
201704,482.2,331.41,68.58,14.12,2.92,20.26,4.19,72.05,14.91,29.25,6.05,8.96,1.86,4.6,0.95,2.59,0.54,-1.06,-0.22,348.12,72.04,135.12,27.96,114.86,23.77,695.91
201705,500.84,333.78,66.48,14.42,2.87,20.49,4.08,86.41,17.21,29.3,5.84,10.35,2.06,4.69,0.94,2.63,0.52,-1.23,-0.24,350.83,69.87,151.24,30.13,130.75,26.05,675.65
201706,524.48,347.43,66.04,15.84,3.01,19.9,3.78,102.71,19.52,22.39,4.26,10.38,1.97,4.7,0.89,2.71,0.52,-1.6,-0.3,365.98,69.57,160.08,30.42,140.18,26.64,672.16
201707,609.9,405.91,66.41,20.76,3.4,23.08,3.78,121.82,19.93,20.16,3.3,11.4,1.86,4.62,0.76,3.5,0.57,-1.35,-0.22,430.17,70.38,181.08,29.63,158.0,25.85,677.55
201708,601.83,404.47,67.14,22.36,3.71,23.02,3.82,114.02,18.93,20.1,3.34,11.16,1.85,4.68,0.78,2.61,0.43,-0.59,-0.1,429.44,71.28,172.98,28.72,149.96,24.9,685.05
