year,added_gw,retired_gw,operating_gw
2000,17.41,0.39,185.81
2001,13.42,0.0,199.23
2002,11.22,0.35,210.1
2003,21.94,0.0,232.04
2004,29.95,0.13,261.87
2005,46.75,0.05,308.56
2006,82.23,0.48,390.3
2007,81.85,9.77,462.39
2008,62.7,9.52,515.57
2009,61.99,9.98,567.57
2010,63.91,9.85,621.63
2011,62.06,3.88,679.81
2012,52.1,3.84,728.07
2013,50.33,3.23,775.17
2014,40.43,8.23,807.37
2015,66.67,5.97,868.07
2016,48.69,7.04,909.71
2017,40.07,6.72,943.06
2018,33.19,9.91,966.33
2019,50.0,7.64,1008.69
2020,41.66,11.46,1038.88
2021,26.81,1.86,1063.83
2022,30.31,3.18,1090.96
2023,48.63,3.11,1136.48
2024,30.66,3.69,1163.46
2025,77.1,8.86,1231.7
2026,30.14,2.58,1259.26
