period,bev_proj,phev_erev_proj,ice_proj
2010-01,0.0023,,0.797
2010-02,0.0023,,0.7969
2010-03,0.0024,,0.7969
2010-04,0.0025,,0.7968
2010-05,0.0026,,0.7967
2010-06,0.0026,,0.7966
2010-07,0.0027,,0.7965
2010-08,0.0028,,0.7965
2010-09,0.0029,,0.7964
2010-10,0.003,,0.7963
2010-11,0.0031,,0.7962
2010-12,0.0031,,0.7961
2011-01,0.0032,,0.796
2011-02,0.0033,,0.7959
2011-03,0.0034,,0.7958
2011-04,0.0035,,0.7957
2011-05,0.0037,,0.7956
2011-06,0.0038,,0.7955
2011-07,0.0039,,0.7954
2011-08,0.004,,0.7953
2011-09,0.0041,,0.7952
2011-10,0.0042,,0.795
2011-11,0.0044,,0.7949
2011-12,0.0045,,0.7948
2012-01,0.0046,,0.7946
2012-02,0.0048,,0.7945
2012-03,0.0049,,0.7944
2012-04,0.0051,,0.7942
2012-05,0.0052,,0.7941
2012-06,0.0054,,0.7939
2012-07,0.0055,,0.7937
2012-08,0.0057,,0.7936
2012-09,0.0059,,0.7934
2012-10,0.006,,0.7932
2012-11,0.0062,,0.793
2012-12,0.0064,,0.7929
2013-01,0.0066,,0.7927
2013-02,0.0068,,0.7925
2013-03,0.007,,0.7923
2013-04,0.0072,,0.7921
2013-05,0.0074,,0.7918
2013-06,0.0076,,0.7916
2013-07,0.0079,,0.7914
2013-08,0.0081,,0.7912
2013-09,0.0084,,0.7909
2013-10,0.0086,,0.7907
2013-11,0.0089,,0.7904
2013-12,0.0091,,0.7901
2014-01,0.0094,,0.7899
2014-02,0.0097,,0.7896
2014-03,0.01,,0.7893
2014-04,0.0103,,0.789
2014-05,0.0106,,0.7887
2014-06,0.0109,,0.7884
2014-07,0.0112,,0.7881
2014-08,0.0115,,0.7877
2014-09,0.0119,,0.7874
2014-10,0.0122,,0.787
2014-11,0.0126,,0.7867
2014-12,0.013,,0.7863
2015-01,0.0134,,0.7859
2015-02,0.0138,,0.7855
2015-03,0.0142,,0.7851
2015-04,0.0146,,0.7847
2015-05,0.015,,0.7842
2015-06,0.0155,,0.7838
2015-07,0.0159,,0.7833
2015-08,0.0164,,0.7829
2015-09,0.0169,,0.7824
2015-10,0.0174,,0.7819
2015-11,0.0179,,0.7814
2015-12,0.0184,,0.7808
2016-01,0.019,,0.7803
2016-02,0.0195,,0.7797
2016-03,0.0201,,0.7792
2016-04,0.0207,,0.7786
2016-05,0.0213,,0.778
2016-06,0.0219,,0.7773
2016-07,0.0226,,0.7767
2016-08,0.0232,,0.776
2016-09,0.0239,,0.7753
2016-10,0.0246,,0.7746
2016-11,0.0253,,0.7739
2016-12,0.0261,,0.7732
2017-01,0.0268,,0.7724
2017-02,0.0276,,0.7716
2017-03,0.0284,,0.7708
2017-04,0.0293,,0.77
2017-05,0.0301,,0.7692
2017-06,0.031,,0.7683
2017-07,0.0319,,0.7674
2017-08,0.0328,,0.7664
2017-09,0.0338,,0.7655
2017-10,0.0347,,0.7645
2017-11,0.0358,,0.7635
2017-12,0.0368,,0.7625
2018-01,0.0378,,0.7614
2018-02,0.0389,,0.7603
2018-03,0.0401,,0.7592
2018-04,0.0412,,0.7581
2018-05,0.0424,,0.7569
2018-06,0.0436,,0.7557
2018-07,0.0448,,0.7544
2018-08,0.0461,,0.7531
2018-09,0.0474,,0.7518
2018-10,0.0488,,0.7505
2018-11,0.0502,,0.7491
2018-12,0.0516,,0.7477
2019-01,0.0531,,0.7462
2019-02,0.0546,,0.7447
2019-03,0.0561,,0.7432
2019-04,0.0577,,0.7416
2019-05,0.0593,,0.74
2019-06,0.061,,0.7383
2019-07,0.0627,,0.7366
2019-08,0.0644,,0.7348
2019-09,0.0662,,0.7331
2019-10,0.0681,,0.7312
2019-11,0.0699,,0.7293
2019-12,0.0719,,0.7274
2020-01,0.0739,,0.7254
2020-02,0.0759,,0.7234
2020-03,0.078,,0.7213
2020-04,0.0801,,0.7192
2020-05,0.0823,,0.717
2020-06,0.0845,,0.7147
2020-07,0.0868,,0.7125
2020-08,0.0892,,0.7101
2020-09,0.0916,,0.7077
2020-10,0.094,,0.7052
2020-11,0.0965,,0.7027
2020-12,0.0991,,0.7002
2021-01,0.1017,,0.6975
2021-02,0.1044,,0.6948
2021-03,0.1072,,0.6921
2021-04,0.11,,0.6893
2021-05,0.1129,,0.6864
2021-06,0.1158,,0.6834
2021-07,0.1188,,0.6804
2021-08,0.1219,,0.6773
2021-09,0.1251,,0.6742
2021-10,0.1283,,0.671
2021-11,0.1315,,0.6677
2021-12,0.1349,,0.6644
2022-01,0.1383,,0.661
2022-02,0.1418,,0.6575
2022-03,0.1453,,0.6539
2022-04,0.1489,,0.6503
2022-05,0.1526,,0.6466
2022-06,0.1564,,0.6429
2022-07,0.1602,,0.639
2022-08,0.1641,,0.6351
2022-09,0.1681,,0.6312
2022-10,0.1721,,0.6271
2022-11,0.1763,,0.623
2022-12,0.1805,,0.6188
2023-01,0.1847,,0.6145
2023-02,0.1891,,0.6102
2023-03,0.1935,,0.6058
2023-04,0.1979,,0.6013
2023-05,0.2025,,0.5968
2023-06,0.2071,,0.5921
2023-07,0.2118,,0.5874
2023-08,0.2166,,0.5827
2023-09,0.2214,,0.5778
2023-10,0.2263,,0.5729
2023-11,0.2313,,0.568
2023-12,0.2363,,0.5629
2024-01,0.2415,,0.5578
2024-02,0.2466,,0.5526
2024-03,0.2519,,0.5474
2024-04,0.2572,,0.5421
2024-05,0.2625,,0.5367
2024-06,0.268,,0.5313
2024-07,0.2735,,0.5258
2024-08,0.279,,0.5203
2024-09,0.2846,,0.5147
2024-10,0.2903,,0.509
2024-11,0.296,,0.5033
2024-12,0.3017,,0.4975
2025-01,0.3076,,0.4917
2025-02,0.3134,,0.4858
2025-03,0.3193,,0.4799
2025-04,0.3253,,0.474
2025-05,0.3313,,0.468
2025-06,0.3373,,0.462
2025-07,0.3434,,0.4559
2025-08,0.3495,,0.4498
2025-09,0.3556,,0.4436
2025-10,0.3618,,0.4375
2025-11,0.368,,0.4313
2025-12,0.3742,,0.4251
2026-01,0.3804,,0.4188
2026-02,0.3867,,0.4126
2026-03,0.393,,0.4063
2026-04,0.3993,,0.4
2026-05,0.4056,,0.3937
2026-06,0.4119,,0.3874
2026-07,0.4182,,0.3811
2026-08,0.4245,,0.3747
2026-09,0.4308,0.2,0.3691
2026-10,0.4372,0.1993,0.3635
2026-11,0.4435,0.1986,0.3579
2026-12,0.4498,0.1979,0.3523
2027-01,0.4561,0.1972,0.3467
2027-02,0.4624,0.1965,0.3411
2027-03,0.4686,0.1958,0.3356
2027-04,0.4749,0.1951,0.33
2027-05,0.4811,0.1944,0.3245
2027-06,0.4873,0.1937,0.319
2027-07,0.4935,0.193,0.3135
2027-08,0.4996,0.1923,0.3081
2027-09,0.5057,0.1916,0.3027
2027-10,0.5118,0.1909,0.2973
2027-11,0.5178,0.1902,0.292
2027-12,0.5238,0.1895,0.2867
2028-01,0.5298,0.1888,0.2814
2028-02,0.5357,0.1881,0.2762
2028-03,0.5416,0.1874,0.271
2028-04,0.5474,0.1867,0.2659
2028-05,0.5532,0.186,0.2608
2028-06,0.5589,0.1853,0.2558
2028-07,0.5646,0.1846,0.2509
2028-08,0.5702,0.1839,0.2459
2028-09,0.5757,0.1832,0.2411
2028-10,0.5812,0.1825,0.2363
2028-11,0.5867,0.1818,0.2316
2028-12,0.592,0.1811,0.2269
2029-01,0.5973,0.1804,0.2223
2029-02,0.6026,0.1797,0.2177
2029-03,0.6078,0.179,0.2132
2029-04,0.6129,0.1783,0.2088
2029-05,0.6179,0.1776,0.2045
2029-06,0.6229,0.1769,0.2002
2029-07,0.6278,0.1762,0.196
2029-08,0.6327,0.1755,0.1918
2029-09,0.6375,0.1748,0.1878
2029-10,0.6422,0.1741,0.1838
2029-11,0.6468,0.1734,0.1798
2029-12,0.6514,0.1727,0.176
2030-01,0.6559,0.172,0.1722
2030-02,0.6603,0.1713,0.1685
2030-03,0.6646,0.1706,0.1648
2030-04,0.6689,0.1698,0.1612
2030-05,0.6731,0.1691,0.1577
2030-06,0.6772,0.1684,0.1543
2030-07,0.6813,0.1677,0.151
2030-08,0.6853,0.167,0.1477
2030-09,0.6892,0.1663,0.1445
2030-10,0.693,0.1656,0.1413
2030-11,0.6968,0.1649,0.1382
2030-12,0.7005,0.1642,0.1352
2031-01,0.7041,0.1635,0.1323
2031-02,0.7077,0.1628,0.1295
2031-03,0.7112,0.1621,0.1267
2031-04,0.7146,0.1614,0.124
2031-05,0.718,0.1607,0.1213
2031-06,0.7213,0.16,0.1187
2031-07,0.7245,0.1593,0.1162
2031-08,0.7276,0.1586,0.1138
2031-09,0.7307,0.1579,0.1114
2031-10,0.7337,0.1572,0.1091
2031-11,0.7367,0.1565,0.1068
2031-12,0.7396,0.1558,0.1046
2032-01,0.7424,0.1551,0.1025
2032-02,0.7452,0.1544,0.1004
2032-03,0.7479,0.1537,0.0984
2032-04,0.7505,0.153,0.0965
2032-05,0.7531,0.1523,0.0946
2032-06,0.7556,0.1516,0.0928
2032-07,0.7581,0.1509,0.091
2032-08,0.7605,0.1502,0.0893
2032-09,0.7628,0.1495,0.0877
2032-10,0.7651,0.1488,0.0861
2032-11,0.7674,0.1481,0.0845
2032-12,0.7696,0.1474,0.083
2033-01,0.7717,0.1467,0.0816
2033-02,0.7738,0.146,0.0802
2033-03,0.7758,0.1453,0.0789
2033-04,0.7778,0.1446,0.0776
2033-05,0.7798,0.1439,0.0763
2033-06,0.7817,0.1432,0.0752
2033-07,0.7835,0.1425,0.074
2033-08,0.7853,0.1418,0.0729
2033-09,0.7871,0.1411,0.0719
2033-10,0.7888,0.1404,0.0709
2033-11,0.7905,0.1397,0.0699
2033-12,0.7921,0.139,0.069
2034-01,0.7937,0.1383,0.0681
2034-02,0.7952,0.1376,0.0672
2034-03,0.7967,0.1369,0.0664
2034-04,0.7982,0.1362,0.0657
