period,type,crude_disp_mb_d,crude_disp_mb_month,pe_saved_twh,pe_added_twh,pe_net_twh
2016-11,historical,0.0006,0.018,0.01,0.01,0.01
2016-12,historical,0.0011,0.035,0.03,0.02,0.01
2017-01,historical,0.0021,0.066,0.05,0.03,0.02
2017-02,historical,0.0035,0.097,0.07,0.05,0.03
2017-03,historical,0.0041,0.128,0.1,0.06,0.04
2017-04,historical,0.0053,0.159,0.12,0.07,0.05
2017-05,historical,0.0061,0.19,0.14,0.09,0.05
2017-06,historical,0.0074,0.221,0.17,0.1,0.06
2017-07,historical,0.0081,0.252,0.19,0.12,0.07
2017-08,historical,0.0091,0.283,0.21,0.13,0.08
2017-09,historical,0.0105,0.314,0.24,0.15,0.09
2017-10,historical,0.0111,0.345,0.26,0.16,0.1
2017-11,historical,0.0125,0.376,0.28,0.18,0.11
2017-12,historical,0.0131,0.407,0.31,0.19,0.12
2018-01,historical,0.0149,0.463,0.35,0.22,0.13
2018-02,historical,0.0185,0.519,0.39,0.24,0.15
2018-03,historical,0.0186,0.575,0.44,0.27,0.17
2018-04,historical,0.0211,0.632,0.48,0.3,0.18
2018-05,historical,0.0222,0.688,0.52,0.32,0.2
2018-06,historical,0.0248,0.744,0.56,0.35,0.21
2018-07,historical,0.0258,0.8,0.6,0.37,0.23
2018-08,historical,0.0276,0.856,0.65,0.4,0.25
2018-09,historical,0.0304,0.912,0.69,0.43,0.26
2018-10,historical,0.0312,0.968,0.73,0.45,0.28
2018-11,historical,0.0341,1.024,0.77,0.48,0.3
2018-12,historical,0.0348,1.08,0.82,0.51,0.31
2019-01,historical,0.0366,1.136,0.86,0.53,0.33
2019-02,historical,0.0425,1.191,0.9,0.56,0.34
2019-03,historical,0.0402,1.247,0.94,0.58,0.36
2019-04,historical,0.0434,1.303,0.99,0.61,0.38
2019-05,historical,0.0438,1.359,1.03,0.64,0.39
2019-06,historical,0.0471,1.414,1.07,0.66,0.41
2019-07,historical,0.0474,1.47,1.11,0.69,0.42
2019-08,historical,0.0492,1.525,1.15,0.71,0.44
2019-09,historical,0.0527,1.581,1.2,0.74,0.46
